id,text
 APPLE IPAD & ANDROID TABLET TUTORING   ," APPLE IPAD & ANDROID TABLET TUTORING    CORPORATION CA 10100 SANTA MONICA BLVD, # 300 LOS ANGELES 90067  CA 10100 SANTA MONICA BLVD, # 300 LOS ANGELES 90067 C3110952 N "
0 1 AGLC DUI AND DEFENSIVE DRIVING LLC,"0 1 AGLC DUI AND DEFENSIVE DRIVING LLC LLC GA 3235 SATELLITE BLVD., BLD. 400 STE.300 DULUTH 30032  GA 3235 SATELLITE BLVD., BLD. 400 DULUTH 30096 15094100 N 541690"
0 1 ATLANTA AREA DUI AND DRIVING SCHOOL LLC,"0 1 ATLANTA AREA DUI AND DRIVING SCHOOL LLC LLC GA 4493 ASHEILA COURT LILBURN 30047  GA 3845 NORTH DRUID HILLS RD, SUITE 106 DECATUR 30033 10078480 N "
0 $294 1 DAY MT LLC,0 $294 1 DAY MT LLC LLC MT   59901      C267413 N 
" ACHIEVE SUCCESS, LLC"," ACHIEVE SUCCESS, LLC LLC FL 100 NE 95 ST MIAMI SHORES 33138  FL 100 NE 95 ST MIAMI SHORES 33138 L09000025190 N "
" ACHIEVE SUCCESS, LLC."," ACHIEVE SUCCESS, LLC. LLC FL 100 N HOWARD ST STE R SPOKANE 99201  FL 100 NE 95TH ST MIAMI SHORES 33138 603416731 N "
 ALPHA DUI - DEFENSIVE DRIVING LLC, ALPHA DUI - DEFENSIVE DRIVING LLC LLC GA 823 MARY ANN DRIVE MARIETTA 30068  GA 1533 HOWELL MILL RD ATLANTA 30318 21082859 N 611692
" BAIL BONDS, LLC"," BAIL BONDS, LLC LLC WV 216 N. FAYETTE STREET BECKLEY 25801  WV 111 LEBANON LN BECKLEY 25801 360556 N "
" DALEY REAL ESTATE, LLC"," DALEY REAL ESTATE, LLC LLC GA 2129 GROVE POINT ROAD SAVANNAH 31419  GA 2129 GROVE POINT ROAD SAVANNAH 31419 8046509 N "
 XPP INC, XPP INC CORPORATION NY 18 FIRST ST SYOSSET 11791      5269485 N 
 0 $ INSTANT REGISTERED AGENT SERVICE LLC, 0 $ INSTANT REGISTERED AGENT SERVICE LLC LLC MT   59901      C267414 N 
" ALL THINGS THROUGH LEARNING, INC."," ALL THINGS THROUGH LEARNING, INC. CORPORATION FL      139 E DURHAM ST PHILADELPHIA  3950892  "
"1 HOST CANADA, LLC","1 HOST CANADA, LLC LLC OR     FL 5335 GATE PARKWAY JACKSONVILLE 32256 62834297 N "
"1 HOST CHINA, LLC","1 HOST CHINA, LLC LLC OR     FL 5335 GATE PARKWAY JACKSONVILLE 32256 62837993 N "
"1 HOST GERMANY, LLC","1 HOST GERMANY, LLC LLC OR     FL 5335 GATE PARKWAY JACKSONVILLE 32256 62837399 N "
"1 HOST JAPAN, LLC","1 HOST JAPAN, LLC LLC OR     FL 5335 GATE PARKWAY JACKSONVILLE 32256 62838298 N "
"1 HOST KOREA, LLC","1 HOST KOREA, LLC LLC OR     FL 5335 GATE PARKWAY JACKSONVILLE 32256 62833794 N "
1ST IN LINE BAIL BONDS LLC,1ST IN LINE BAIL BONDS LLC LLC FL 1609 N. NOVA RD HOLLY HILL 32117  FL 1609 N. NOVA ROAD #K HOLLY HILL 32117 L20000102453 N 
ARRIBA LLC,ARRIBA LLC LLC MO 9510 EAST SEVILLE PECULIAR 64078      LC1235595  
ASP IT INC.,ASP IT INC. CORPORATION NY 60 BROAD ST SUITE 3101 NEW YORK 10004      5551357 N 
B&D TREE--LANCERS LLC,B&D TREE--LANCERS LLC LLC TX     TX 9900 SPECTRUM DR AUSTIN 78717  N 
"B.A.M SELF DEFENSE AND PERSONAL TRAINING, LLC","B.A.M SELF DEFENSE AND PERSONAL TRAINING, LLC LLC GA 4607 MEADOW AVE SAVANNAH 31405  GA 4607 MEADOW AVE SAVANNAH 31405 20144275 N 611620"
CELEBRATE . PLANNING . UNFORGETTABLE . PARTIES .,CELEBRATE . PLANNING . UNFORGETTABLE . PARTIES . DBA OH       TOLEDO  4022081 N 
CT'S BAIL BONDS CORP,CT'S BAIL BONDS CORP CORPORATION FL 1212 OLEN DR HOLLY HILL 32117  FL 345 BEVILLE RD #108 DAYTONA 32119 P21000041715 N 
DREAM ON LLC,DREAM ON LLC CORPORATION OH       AUSTINTOWN  1070426 N 
DREAM WEAVERS LLC,DREAM WEAVERS LLC CORPORATION OH       NORTHFIELD CENTER  1070066 N 
"DREAM WEAVERS, AM-FM-TV LLC","DREAM WEAVERS, AM-FM-TV LLC CORPORATION OH       NORTHFIELD CENTER  1070065 N "
ELI'S COMPUTER REPAIR AND SERVICE LLC,ELI'S COMPUTER REPAIR AND SERVICE LLC LLC IN 3034 UNDERWOOD CT WHITELAND 46184  IN 3034 UNDERWOOD CT WHITELAND 46184 202102241464903 N 
ELI'S COMPUTER REPAIR AND SERVICE LLP,ELI'S COMPUTER REPAIR AND SERVICE LLP LLC IN 3034 UNDERWOOD CT WHITELAND 46184  IN 3034 UNDERWOOD CT WHITELAND 46184 202102241464903 N 
"EXEVIA URBAN VENTURES, LLC","EXEVIA URBAN VENTURES, LLC LLC GA 4549 REVENUE TRAIL ELLENWOOD 30294  GA 4549 REVENUE TRAIL ELLENWOOD 30294 18135246 N 531110"
"FANTASTIC CLEANING, LLC","FANTASTIC CLEANING, LLC LLC CO 2550 WINDING RIVER DR K1 BROOMFIELD 80023  CO 2550 WINDING RIVER DR K1 ATTN: B. SABATKA BROOMFIELD 80023 20101326096 N "
"FLAGS, LLC","FLAGS, LLC CORPORATION OH       CINCINNATI  1069901 N "
"HAW~A~YAK~A~HSIA|, LLC","HAW~A~YAK~A~HSIA|, LLC LLC OR     OR 1975 SE CRYSTAL LAKE DR UNIT 141 CORVALLIS 97333 155829691 N "
"HOLA HP, LLC","HOLA HP, LLC LLC TX     TX 4429 HYER ST DALLAS 75205  N "
"HOLA SCHOOL OF SPANISH LANGUAGE, LLC.","HOLA SCHOOL OF SPANISH LANGUAGE, LLC. LLC TX     TX 19014 ALLVIEW LN HOUSTON 77094  N "
"JGG REAL ESTATE, LLC","JGG REAL ESTATE, LLC CORPORATION OH       NORTHFIELD CENTER  1069996 N "
K7 RECORDS GMBH,K7 RECORDS GMBH CORPORATION NY HORST WEIDENMUELLER 55 WASHINGTON STREET STE BROOKLYN 11201   HEIDESTR. 52 BERLIN 10557 3281337 N 
KHARMASREVENGE LLC,KHARMASREVENGE LLC LLC GA 742 PEEPLES ST. SW ATLANTA 30310  GA 742 PEEPLES ST. SW ATLANTA 30310 12050497 N 
KR FOUNDATION INC.,KR FOUNDATION INC. NONPROFIT GA 742 PEEPLES STREET SW ATLANTA 30310  GA 742 PEEPLES STREET SW ATLANTA 30310 13384219 N 
"LINKS, LLC","LINKS, LLC CORPORATION OH       METAMORA  1070064 N "
LYYV ENTERTAINMENT LLC,LYYV ENTERTAINMENT LLC LLC WA 3023 E DIAMOND AVE SPOKANE 99217  WA 5201 N MARKET ST BSMT SPOKANE 99217 604431901 N 
MPACT CITY  INC.,MPACT CITY  INC. NONPROFIT NC 3916 STRETTON AVE FAYETTEVILLE 28306  NC 3916 STRETTON AVE FAYETTEVILLE 28306 2057384 N 
"MPERFECTIONS, LLC","MPERFECTIONS, LLC LLC NY 143 EAST 63RD STREET NEW YORK 10022      2767192 N "
MUEVE TO THE BEAT LLC,MUEVE TO THE BEAT LLC CORPORATION OH       BURTON  2117148 N 
"NAEDOG INT'L, INC.","NAEDOG INT'L, INC. CORPORATION CA 22216 VICTORY BLVD, UNIT C 219 WOODLAND HILLS 91367  CA 22216 VICTORY BLVD, UNIT C 219 WOODLAND HILLS 91367 C4236799 N "
NISH CLOTHING LLC,NISH CLOTHING LLC LLC NY 99 ELMWOOD AVENUE HEMPSTEAD 11550      5071492 N 
NSIGNIFICANT LLC,NSIGNIFICANT LLC LLC TX     TX 4826 PEBBLE BLUFF LN KATY 77449  N 
"NSPIRED, LLC","NSPIRED, LLC LLC MO 600 WASHINGTON AVENUE, SUITE 2500 ST. LOUIS 63101      LC1236724  "
